
103914870164232673,2026-04-22 11:37:48,世***5,"[{""颜色"": ""雪山白 ""}]",,否,-1,此用户未及时填写评价内容 | [追评]: 和200多的没有任何区别，甚至还不如。鼠标了也是，买了一年，换了十几个电池。以后不买小米的了。现在京东自营售后服务也差了。
104622510182821944,2026-04-12 19:45:20,7***9,"[{""颜色"": ""冰霜蓝 ""}]",,否,-1,垃圾得很，总是莫名其妙断连，这么贵却还没几十块的红米耳机稳定
104481590178926945,2026-04-10 07:57:08,jd594982yem,"[{""颜色"": ""雪山白 ""}]",,否,-1,经常断联，换了新的也是同样的问题我真服了
103813790160395179,2026-04-04 09:25:28,1***q,"[{""颜色"": ""钛光金 ""}]",,否,-1,此用户未及时填写评价内容 | [追评]: 经常断联，突然就没声了，有点风降噪就无效了，反而会把风声放大
104401680177344874,2026-03-26 08:55:44,j***e,"[{""颜色"": ""钛光金 ""}]",,否,-1,非常差，非常差，难用
102832070148778966,2026-03-24 11:05:58,并***善,"[{""颜色"": ""月影黑 ""}]",,否,-1,此用户未及时填写评价内容 | [追评]: 音质普通，时不时断开链接
102810860148641900,2026-03-17 10:52:21,j***2,"[{""颜色"": ""月影黑 ""}]",,否,-1,此用户未及时填写评价内容 | [追评]: 垃圾续航，2小时就提前电量低
102942650150294198,2026-03-14 22:04:55,f***l,"[{""颜色"": ""钛光金 ""}]",,否,-1,此用户未及时填写评价内容 | [追评]: 差评😒 听歌半小时绝对断连，没有意外，换货后还是同样的问题
103925070162458422,2026-03-11 12:35:58,j***f,"[{""颜色"": ""钛光金 ""}]",,否,-1,小米15手机连小米耳机，都动不动断联没声音，又需要放到耳机盒里面重置一下，才能重新连接。巨麻烦，巨恶心。怎么能做的这么烂？
103503590154230646,2026-02-28 14:43:40,烟***G,"[{""颜色"": ""钛光金 ""}]",,否,-1,此用户未及时填写评价内容 | [追评]: 耳机用着用着就突然没有声音了，蓝牙还在连接，重新放入耳机仓或者重起手机蓝牙开关就没问题了，联系客服客服瞬让寄回检测，我看了下评论不止我一个人有此问题，建议整体解决此问题
103551900162475943,2026-03-10 19:20:15,j***3,"[{""颜色"": ""钛光金 ""}]",,否,0,此用户未及时填写评价内容 | [追评]: 对象说一般般，给1颗星吧
103940290170412988,2026-02-01 23:21:58,宝***虾,"[{""颜色"": ""钛光金 ""}]",,否,0,右耳处有轻微划痕，不知道啥原因但是不影响使用也就算了。
103801870166729761,2026-01-28 10:00:17,li灯火阑珊,"[{""颜色"": ""月影黑 ""}]",,否,0,续航还可以，舒适度欠佳，戴不紧，有时候左耳一会有声音一会没声音
102423950131310961,2026-01-02 04:25:19,2***e,"[{""颜色"": ""月影黑 ""}]",,否,0,此用户未及时填写评价内容 | [追评]: 续航一般，但是耳机充满电后只能用三个小时
103140100153900617,2025-12-27 18:17:15,u***8,"[{""颜色"": ""雪山白 ""}]",,否,0,音质不错，但是续航很垃圾，外观挺好看的
102171190131484377,2025-12-18 23:17:05,u***l,"[{""颜色"": ""雪山白 ""}]",,否,0,此用户未及时填写评价内容 | [追评]: 7月多买的不到半年降价100多，当时还有国补+各种补贴 唯一的优点就是音质很好。
102993280146257965,2025-12-16 16:57:48,j***1,"[{""颜色"": ""钛光金 ""}]",,否,0,降噪效果很差，不如我买的两百多的耳机。亮点是它的低音部分比较出彩。做工质感不错。
102700360146754457,2025-12-10 13:01:24,春***1,"[{""颜色"": ""雪山白 ""}]",,否,0,此用户未及时填写评价内容 | [追评]: 垃圾耳机，动不动就断触，降噪更是垃圾的一批，千万别买
103082680152105054,2025-12-07 16:27:22,SSHAKESQZ,"[{""颜色"": ""雪山白 ""}]",,否,0,降噪效果很差，和宣传出入较大
