commentId,creationTime,nickname,referenceName,userLevelId,isPlus,score,content
103541140161515728,2026-01-14 16:21:45,兔斯基只会茫然,"[{""颜色"": ""雪山白 ""}]",,否,1,耳机很好用，音质清晰，连接稳定，用起来非常方便，降噪效果明显，还有很多模式自去调，小巧挂耳也不会掉，只要没有那种软硅胶塞耳的我很喜欢，体验感还不错
103572610164202156,2025-12-31 18:29:33,3***u,"[{""颜色"": ""雪山白 ""}]",,否,1,在京东买的小米蓝牙耳机到手啦😍!音质超棒，听歌、通话都超清晰。佩戴也舒适，久戴不痛。续航给力，充电一次能用好久。必须给个五星好评👍!
103564780155733649,2025-12-26 06:38:08,j***1,"[{""颜色"": ""雪山白 ""}]",,否,1,挑选了很久，买了小米的这款蓝牙耳机，做工很精细，质感高级，试用后感觉音质还是挺不错的，续航能力也还挺好的。佩戴久了耳朵也不会难受？
24941271999,2025-11-07 10:29:32,3***n,"[{""颜色"": ""钛光金 ""}]",,否,1,外观漂亮大方，做工精细，耳机音质很好。美中不足是耳机续航时间较短，在听音乐的情况下两小时电量从100%降到30%，放回充电盒中充电30分钟充到100%，充电盒电量从100%降到84%左右。
103700070164097427,2026-01-08 07:40:45,j***2,"[{""颜色"": ""雪山白 ""}]",,否,1,给家人买的小礼物，价格实惠，产品设计的还不错，功能比较齐备，在这个价格还算不错了，当然还可以做的更好一些，还有很大的提升空间
102670470145152113,2025-11-24 22:07:14,快***买,"[{""颜色"": ""雪山白 ""}]",,否,1,外观不错白色的好看 音质也挺好的， 就是价格买的早了点略贵 现在小米除了便宜货 稍微上点档次的已经没啥性价比了 快递给力速度很快
103393330153018500,2026-01-05 11:47:22,面***娇,"[{""颜色"": ""钛光金 ""}]",,否,1,质量很好，续航时间长，银色超级好看，推荐，音效环绕超级舒适，价格也很优惠，不错不错推荐推荐，做工细致精致大方大气不失时尚
25015470505,2025-11-15 21:01:09,衡州府文文,"[{""颜色"": ""月影黑 ""}]",,否,1,小米的耳机不是第一次买了，就是看中它的性价比，主要是音质音效很好，做工质感也好，续航能力强，无损音乐，听着太舒服了。给力。
103822090168349126,2026-01-19 23:01:47,涛声依旧王涛,"[{""颜色"": ""雪山白 ""}]",,否,1,年终给北京分公司的同事安排礼品奖励，在京东商城闲逛，发现这款小米蓝牙耳机非常漂亮，销量也很火爆，听说是雷军同款，可以很好的适配苹果和安卓手机。
103185090148430320,2025-11-16 11:16:27,j***N,"[{""颜色"": ""冰霜蓝 ""}]",,否,1,第二次购买了。是收到第一款的第二天， 送给侄子的礼物🎁。他很喜欢。 他说音质不错，连接手机顺畅，不容易掉。已经丝滑切换到安卓阵营。
23770317971,2025-06-14 21:03:55,1***r,"[{""颜色"": ""冰霜蓝 ""}]",,否,1,买了冰霜蓝，颜色好看不落凡俗。半入耳式佩戴舒适，自带降噪功能。音质好。和手机连接响应速度快。有国补，价格好。充电速度也杠杠的。值得购买！
23820714546,2025-06-20 15:47:36,y***5,"[{""颜色"": ""钛光金 ""}]",,否,1,续航能力：开降噪3h出头。 舒适度：很好，几乎无感佩戴。 音质音效：开降噪后音质依旧不错，解析力可以，到手固件比较老，更新后音质有较大提升。另外需要手动将系统设置中的音效切换至原声。澎湃系统bug之处在于每次耳机连接都默认切换到小米音效，耳机声音闷、糊、低沉，澎湃系统扣大分。 做工质感：颜色很高级。
24130801557,2025-08-02 14:35:37,N***U,"[{""颜色"": ""雪山白 ""}]",,否,1,耳机小巧，造型很好看，降噪效果很不错，能够过滤掉一些环境声，不管是听歌还是外出出差，携带也方便，就是触摸操作需要用力按，操作失败率比较高
23571747149,2025-05-23 01:45:16,是***卜,"[{""颜色"": ""钛光金 ""}]",,否,1,一直是小米的粉丝儿，这次买了这个耳机换下了用了三年的3Pro，5代开放入耳，不压耳，不硌耳，但佩戴起来又很紧实，运动，骑车都不会掉，音质来讲，低音明显，高音洪亮，日唱使用绝佳选择
24264980904,2025-08-20 09:28:47,SenlerWang,"[{""颜色"": ""冰霜蓝 ""}]",,否,1,等了很久终于乘国补的机会拿下，当时在小米之家试听了一下，音质远高于预期，不过价格有点超预期。 做工质感：正常水平，也挑不出什么毛病。 音质音效：最满意的就是音质，低音刚刚好，三频不像其他耳机的黏在一起，不管是听音乐还是听小说，都很棒。 舒适度：戴久了不疼。 续航能力：中规中矩，不短也不长。
23622664935,2025-05-27 20:03:45,繁***w,"[{""颜色"": ""冰霜蓝 ""}]",,否,1,用的小米手机，自然搭配小米耳机效果更加，个人不习惯佩戴入耳式耳机，这款buds 5正好符合我的要求，蓝色的是磨砂外观，音质不错，延迟低，叠加国补价格优！
23598533554,2025-05-25 14:57:43,D***子,"[{""颜色"": ""钛光金 ""}]",,否,1,"耳机用起来确实不错，我是小米手机，打开就直接连上了，有降噪的功能，但是没那么明显。电量目前还比较耐用，后续再看看，我戴着跑步也没有掉，入耳也ok,不是那种浅浅的"
24444544017,2025-09-11 00:35:57,j***3,"[{""颜色"": ""雪山白 ""}]",,否,1,这款耳机太好看了，简直是物美价廉。音质也不错。买这个小包包配上很好看。降噪效果也还可以，续航能力很棒。最主要的是这个质感特别棒。磁吸的！
23663817640,2025-06-01 12:44:39,q***_,"[{""颜色"": ""钛光金 ""}]",,否,1,续航还可以，外观非常喜欢，音质方面的话也是比较突出的，佩戴没有入耳式耳机那种涨耳朵的感觉。耳朵佩戴的感觉很不错。 音质音效：音质确实挺不错的，高音，低音都还可以。
23604824422,2025-05-26 06:24:04,栗***丶,"[{""颜色"": ""月影黑 ""}]",,否,1,小米的耳机第一次买，感觉还行。四五百块的还有降噪。没的说。 做工质感：还可以 音质音效：也还行 舒适度：比入耳的好 续航能力：挺强
23787561841,2025-06-16 21:46:51,C***s,"[{""颜色"": ""钛光金 ""}]",,否,1,本人使用是米系设备（小米14pr、平板7pad pro），和电脑（已安装小米电脑管家）联动起来很不错，对比我以前用的耳机（redmi buds 5）来说音质有了很大的进步，降噪也没太严重的耳压感，使用起来还不错
23803649743,2025-06-18 14:21:34,y***4,"[{""颜色"": ""冰霜蓝 ""}]",,否,1,非常有质感，本人耳朵有点小，带平常的那种总感觉会掉，这个就不会，而且当耳机拿掉的时候视频或者歌曲会暂停，非常喜欢，很舒适。
24232797200,2025-08-16 07:47:23,不***一,"[{""颜色"": ""钛光金 ""}]",,否,1,物超所值！佩戴舒适稳固，音质清晰均衡，日常听歌通话够用。蓝牙连接快且稳定，续航持久，充电方便。作为入门或通勤运动耳机，性价比很高，值得入手！
23630166757,2025-05-28 16:45:05,俊***2,"[{""颜色"": ""月影黑 ""}]",,否,1,做工质感：外观不错 音质音效：音效很好，没有任何卡顿 舒适度：佩戴舒适，长时间都不会耳朵疼 续航能力：续航正常
24793226023,2025-10-22 08:35:09,小玥玥de麻麻,"[{""颜色"": ""钛光金 ""}]",,否,1,给老公买的，他很喜欢，新换的手机小米17Pro，配件也必须得跟上，京东速度很快，中午买晚上就到，降噪效果很棒，音质也很好、果然贵有贵的道理可言。
23423479569,2025-05-14 18:35:48,眭***越,"[{""颜色"": ""月影黑 ""}]",,否,1,买的是黑色的小米耳机，做工精细，外壳是磨砂质感和黑亮质感的结合，很喜欢，耳机轻巧，试听，音质通透，听音乐很享受，不过是入耳式，长时间听不知道会不会耳朵不舒服。
23720496895,2025-06-08 12:12:35,j***r,"[{""颜色"": ""钛光金 ""}]",,否,1,做工质感：银色高级感 音质音效：哈曼调音，沉浸感十足 舒适度：待久不疼，买过最好耳机了 其他特色：喜欢可冲！
